id,name,food_group,food_subgroup
862,Gefilte fish,Dishes,Jewish cuisine
863,Yellow pond-lily,Herbs and Spices,Herbs
864,Fish burger,Dishes,Sandwiches
865,Other dish,Dishes,Other dishes
866,Pot pie,Dishes,Other dishes
867,Stuffing,Baking goods,Baking goods
868,Edible shell,Baking goods,Wrappers
869,Fudge,Confectioneries,Candies
870,Candy bar,Confectioneries,Candies
871,Condensed milk,Milk and milk products,Other milk products
872,Margarine,Fats and oils,Vegetable fats
873,Margarine-like spread,Fats and oils,Vegetable fats
874,Hummus,Dishes,Levantine cuisine
876,Potato puffs,Dishes,Potato dishes
877,Potato gratin,Dishes,Potato dishes
878,Milk substitute,Baking goods,Substitutes
879,Pepper (C. pubescens),Vegetables,Fruit vegetables
880,Soft-necked garlic,Herbs and Spices,Herbs
881,Cabbage,Vegetables,Cabbages
882,Chinese bayberry,Fruits,Berries
883,Mushrooms,Vegetables,Mushrooms
884,Alcoholic beverages,Beverages,Alcoholic beverages
885,Onion-family vegetables,Vegetables,Onion-family vegetables
886,Pomes,Fruits,Pomes
887,Brassicas,Vegetables,Brassicas
888,Cereals and cereal products,Cereals and cereal products,Cereals and cereal products
889,Citrus,Fruits,Citrus
890,Cocoa and cocoa products,Cocoa and cocoa products,Cocoa and cocoa products
891,Coffee and coffee products,Coffee and coffee products,Coffee and coffee products
892,Crustaceans,Aquatic foods,Crustaceans
893,Milk and milk products,Milk and milk products,Milk and milk products
894,Fats and oils,Fats and oils,Fats and oils
896,Fishes,Aquatic foods,Fishes
897,Herbs and Spices,Herbs and Spices,Herbs and Spices
898,Pulses,Pulses,Pulses
899,Animal foods,Animal foods,Animal foods
900,Mollusks,Aquatic foods,Mollusks
901,Nuts,Nuts,Nuts
902,Beverages,Beverages,Beverages
903,Fruits,Fruits,Fruits
904,Green vegetables,Vegetables,Green vegetables
905,Root vegetables,Vegetables,Root vegetables
906,Sunburst squash (pattypan squash),Gourds,Gourds
907,Green zucchini,Gourds,Gourds
908,Yellow zucchini,Gourds,Gourds
909,Green bell pepper,Vegetables,Fruit vegetables
910,Yellow bell pepper,Vegetables,Fruit vegetables
911,Orange bell pepper,Vegetables,Fruit vegetables
912,Red bell pepper,Vegetables,Fruit vegetables
913,Italian sweet red pepper,Vegetables,Fruit vegetables
914,Yellow wax bean,Pulses,Beans
915,Green bean,Pulses,Beans
916,Saskatoon berry,Fruits,Berries
917,Nanking cherry,Fruits,Berries
918,Japanese pumpkin,Gourds,Gourds
919,White cabbage,Vegetables,Cabbages
920,Romaine lettuce,Vegetables,Leaf vegetables
921,"Cow milk, pasteurized, vitamin A + D added, 0% fat",Milk and milk products,Unfermented milks
922,"Cow milk, pasteurized, vitamin A + D added, 1% fat",Milk and milk products,Unfermented milks
923,"Cow milk, pasteurized, vitamin A + D added, 2% fat",Milk and milk products,Unfermented milks
924,"Cow milk, pasteurized, vitamin D added, 3.25% fat",Milk and milk products,Unfermented milks
