id,name,food_group,food_subgroup
395,Kale,Vegetables,Cabbages
396,Kelp,Aquatic foods,Seaweed
397,King mackerel,Aquatic foods,Fishes
398,Kumquat,Fruits,Tropical fruits
399,Lambsquarters,Vegetables,Leaf vegetables
400,Leather chiton,Aquatic foods,Mollusks
401,Wild leek,Vegetables,Onion-family vegetables
402,Common ling,Aquatic foods,Fishes
403,Lingcod,Aquatic foods,Fishes
404,American lobster,Aquatic foods,Crustaceans
405,Loganberry,Fruits,Berries
406,Lotus,Herbs and Spices,Other seeds
407,Sacred lotus,Vegetables,Other vegetables
408,White lupine,Pulses,Other pulses
409,Malabar spinach,Vegetables,Leaf vegetables
410,Mammee apple,Fruits,Tropical fruits
411,Purple mangosteen,Fruits,Tropical fruits
412,Alpine sweetvetch,Vegetables,Root vegetables
413,Milkfish,Aquatic foods,Fishes
414,Monkfish,Aquatic foods,Fishes
415,Moose,Animal foods,Venison
416,Moth bean,Pulses,Beans
417,Mountain yam,Vegetables,Tubers
418,Striped mullet,Aquatic foods,Fishes
419,Muskrat,Animal foods,Rodents
420,White mustard,Herbs and Spices,Spices
421,Mustard spinach,Vegetables,Cabbages
422,New Zealand spinach,Vegetables,Leaf vegetables
423,Nopal,Vegetables,Other vegetables
424,Ocean pout,Aquatic foods,Fishes
425,North Pacific giant octopus,Aquatic foods,Mollusks
426,Ohelo berry,Fruits,Berries
427,Okra,Vegetables,Other vegetables
428,Tunicate,Aquatic foods,Other aquatic foods
429,Opossum,Animal foods,Marsupials
430,Ostrich,Animal foods,Poultry
431,Spotted seal,Aquatic foods,Pinnipeds
432,Pacific herring,Aquatic foods,Fishes
433,Pacific oyster,Aquatic foods,Mollusks
434,Pacific rockfish,Aquatic foods,Fishes
435,Velvet duck,Animal foods,Poultry
436,Pepper (C. frutescens),Vegetables,Fruit vegetables
437,Common persimmon,Fruits,Tropical fruits
438,Pheasant,Animal foods,Poultry
439,Northern pike,Aquatic foods,Fishes
440,Pili nut,Nuts,Nuts
441,Colorado pinyon,Nuts,Nuts
442,Pitanga,Fruits,Tropical fruits
443,Plains prickly pear,Fruits,Tropical fruits
444,French plantain,Fruits,Tropical fruits
445,American pokeweed,Vegetables,Shoot vegetables
446,Polar bear,Animal foods,Other mammals
447,Opium poppy,Herbs and Spices,Spices
448,Prairie turnip,Vegetables,Root vegetables
449,Prickly pear,Fruits,Tropical fruits
450,Quinoa,Herbs and Spices,Other seeds
451,European rabbit,Animal foods,Lagomorphs
452,Raccoon,Animal foods,Other mammals
453,Rainbow smelt,Aquatic foods,Fishes
454,Rainbow trout,Aquatic foods,Fishes
455,Malabar plum,Fruits,Tropical fruits
456,Rose hip,Herbs and Spices,Herbs
457,Roselle,Herbs and Spices,Herbs
458,Orange roughy,Aquatic foods,Fishes
459,Sablefish,Aquatic foods,Fishes
460,Pink salmon,Aquatic foods,Fishes
461,Chum salmon,Aquatic foods,Fishes
462,Coho salmon,Aquatic foods,Fishes
463,Sockeye salmon,Aquatic foods,Fishes
464,Chinook salmon,Aquatic foods,Fishes
465,Atlantic salmon,Aquatic foods,Fishes
466,Salmonberry,Fruits,Berries
467,Common salsify,Vegetables,Root vegetables
468,Sapodilla,Fruits,Tropical fruits
469,Mamey sapote,Fruits,Tropical fruits
470,Spanish mackerel,Aquatic foods,Fishes
471,Pacific sardine,Aquatic foods,Fishes
472,Scallop,Aquatic foods,Mollusks
473,Scup,Aquatic foods,Fishes
474,Sea cucumber,Aquatic foods,Other aquatic foods
475,Steller sea lion,Aquatic foods,Pinnipeds
476,Bearded seal,Aquatic foods,Pinnipeds
477,Ringed seal,Aquatic foods,Pinnipeds
478,Seatrout,Aquatic foods,Fishes
479,Sesbania flower,Vegetables,Other vegetables
480,American shad,Aquatic foods,Fishes
481,Shark,Aquatic foods,Fishes
482,Sheefish,Aquatic foods,Fishes
483,"Sheep (Mutton, Lamb)",Animal foods,Ovis
484,Sheepshead,Aquatic foods,Fishes
485,Hedge mustard,Herbs and Spices,Other seeds
486,Skipjack tuna,Aquatic foods,Fishes
487,Snapper,Aquatic foods,Fishes
488,Soursop,Fruits,Tropical fruits
489,Spelt,Cereals and cereal products,Cereals
490,Spirulina,Aquatic foods,Seaweed
491,Squab,Animal foods,Poultry
492,Squirrel,Animal foods,Rodents
493,Strawberry guava,Fruits,Berries
494,Greater sturgeon,Aquatic foods,Fishes
495,White sucker,Aquatic foods,Fishes
496,Sugar apple,Fruits,Tropical fruits
497,Pumpkinseed sunfish,Aquatic foods,Fishes
498,Swordfish,Aquatic foods,Fishes
499,Taro,Vegetables,Root vegetables
500,Teff,Herbs and Spices,Herbs
501,Tilefish,Aquatic foods,Fishes
502,Mexican groundcherry,Vegetables,Fruit vegetables
503,Towel gourd,Gourds,Gourds
504,"Salmonidae (Salmon, Trout)",Aquatic foods,Fishes
505,Turkey,Animal foods,Poultry
506,"Cattle (Beef, Veal)",Animal foods,Bovines
507,Walleye,Aquatic foods,Fishes
508,Alaska pollock,Aquatic foods,Fishes
509,Wasabi,Herbs and Spices,Spices
510,Wax gourd,Gourds,Gourds
511,Whelk,Aquatic foods,Mollusks
512,Coalfish pollock,Aquatic foods,Fishes
513,Broad whitefish,Aquatic foods,Fishes
514,Whitefish,Aquatic foods,Fishes
515,Whiting,Aquatic foods,Fishes
516,Wild rice,Cereals and cereal products,Cereals
517,Tea leaf willow,Herbs and Spices,Herbs
518,Winged bean,Pulses,Beans
519,Yam,Vegetables,Tubers
520,Jicama,Vegetables,Root vegetables
521,Yautia,Vegetables,Leaf vegetables
522,Yellowfin tuna,Aquatic foods,Fishes
523,Yellowtail amberjack,Aquatic foods,Fishes
524,Pollock,Aquatic foods,Fishes
525,Albacore tuna,Aquatic foods,Fishes
526,Gadus (Common cod),Aquatic foods,Fishes
527,Atlantic halibut,Aquatic foods,Fishes
528,Pacific halibut,Aquatic foods,Fishes
529,Pacific salmon,Aquatic foods,Fishes
530,Smelt,Aquatic foods,Fishes
531,"Clupeinae (Herring, Sardine, Sprat)",Aquatic foods,Fishes
532,Spiny lobster,Aquatic foods,Crustaceans
533,Snow crab,Aquatic foods,Crustaceans
534,Black-eyed pea,Pulses,Peas
535,Deer,Animal foods,Venison
536,Macadamia nut,Nuts,Nuts
537,Percoidei (Bass and others),Aquatic foods,Fishes
538,Perciformes (Perch-like fishes),Aquatic foods,Fishes
539,Arctic ground squirrel,Animal foods,Rodents
540,Rabbit,Animal foods,Lagomorphs
541,Domestic goat,Animal foods,Caprae
542,Beefalo,Animal foods,Bovines
543,Antelope,Animal foods,Venison
544,"Bivalvia (Clam, Mussel, Oyster)",Aquatic foods,Mollusks
545,Squid,Aquatic foods,Mollusks
546,Shrimp,Aquatic foods,Crustaceans
547,Crayfish,Aquatic foods,Crustaceans
548,Flatfish,Aquatic foods,Fishes
549,"Domestic pig (Piglet, Pork)",Animal foods,Swine
550,Walrus,Aquatic foods,Pinnipeds
551,Alaska wild rhubarb,Vegetables,Stalk vegetables
552,Oriental wheat,Cereals and cereal products,Cereals
553,Yardlong bean,Pulses,Peas
554,Great horned owl,Animal foods,Poultry
555,Quail,Animal foods,Poultry
556,Boysenberry,Fruits,Berries
557,Persian lime,Fruits,Citrus
558,Feijoa,Fruits,Tropical fruits
559,Rowal,Herbs and Spices,Other seeds
560,Jew's ear,Vegetables,Mushrooms
561,Common mushroom,Vegetables,Mushrooms
562,Shiitake,Vegetables,Mushrooms
563,Purple laver,Aquatic foods,Seaweed
564,Wakame,Aquatic foods,Seaweed
565,Enokitake,Vegetables,Mushrooms
566,Epazote,Herbs and Spices,Herbs
567,Oyster mushroom,Vegetables,Mushrooms
568,Cloud ear fungus,Vegetables,Mushrooms
569,Maitake,Vegetables,Mushrooms
570,Ostrich fern,Vegetables,Leaf vegetables
571,Spot croaker,Aquatic foods,Fishes
572,Sourdock,Herbs and Spices,Herbs
573,Tinda,Gourds,Gourds
574,Atlantic menhaden,Aquatic foods,Fishes
575,Wheat,Cereals and cereal products,Cereals
576,Common chokecherry,Fruits,Drupes
577,Agave,Vegetables,Other vegetables
578,Narrowleaf cattail,Vegetables,Other vegetables
579,Jellyfish,Aquatic foods,Other aquatic foods
580,Anchovy,Aquatic foods,Fishes
581,Blue whiting,Aquatic foods,Fishes
582,Carp bream,Aquatic foods,Fishes
583,Chanterelle,Vegetables,Mushrooms
584,Sturgeon,Aquatic foods,Fishes
585,Charr,Aquatic foods,Fishes
586,Cinnamon,Herbs and Spices,Spices
587,Crab,Aquatic foods,Crustaceans
588,Common dab,Aquatic foods,Fishes
589,Spiny dogfish,Aquatic foods,Fishes
590,"Anatidae (Duck, Goose, Swan)",Animal foods,Poultry
591,Anguilliformes (Eel),Aquatic foods,Fishes
592,True frog,Aquatic foods,Amphibians
593,Garfish,Aquatic foods,Fishes
594,"Gadiformes (Cod, Hake)",Aquatic foods,Fishes
595,Mountain hare,Animal foods,Lagomorphs
596,Lake trout,Aquatic foods,Fishes
597,Lemon sole,Aquatic foods,Fishes
598,Clawed lobster,Aquatic foods,Crustaceans
599,Lumpsucker,Aquatic foods,Fishes
600,"Scombridae (Bonito, Mackerel, Tuna)",Aquatic foods,Fishes
601,Marine mussel,Aquatic foods,Mollusks
602,Norway haddock,Aquatic foods,Fishes
603,Norway lobster,Aquatic foods,Crustaceans
604,Norway pout,Aquatic foods,Fishes
605,Oil palm,Herbs and Spices,Oilseed crops
606,True oyster,Aquatic foods,Mollusks
607,Sago palm,Herbs and Spices,Oilseed crops
608,Persimmon,Fruits,Tropical fruits
609,Pikeperch,Aquatic foods,Fishes
610,"Pleuronectidae (Dab, Halibut, Plaice)",Aquatic foods,Fishes
611,Rock ptarmigan,Animal foods,Poultry
612,Pacific ocean perch,Aquatic foods,Fishes
613,Black salsify,Vegetables,Root vegetables
614,True seal,Aquatic foods,Pinnipeds
615,Red algae,Aquatic foods,Seaweed
616,Kombu,Aquatic foods,Seaweed
617,Snail,Aquatic foods,Mollusks
618,True sole,Aquatic foods,Fishes
619,Catfish,Aquatic foods,Fishes
620,Thistle,Vegetables,Root vegetables
621,Thunnus (Common tuna),Aquatic foods,Fishes
622,Walnut,Nuts,Nuts
623,"Cetacea (Dolphin, Porpoise, Whale)",Aquatic foods,Cetaceans
624,"Columbidae (Dove, Pigeon)",Animal foods,Poultry
625,Conch,Aquatic foods,Mollusks
626,Grape wine,Beverages,Fermented beverages
627,Berry wine,Beverages,Fermented beverages
628,Other wine,Beverages,Fermented beverages
629,Apple cider,Beverages,Fermented beverages
630,Liquor,Beverages,Distilled beverages
631,Cheese,Milk and milk products,Fermented milk products
632,Milk (Cow),Milk and milk products,Unfermented milks
633,Eggs,Eggs,Eggs
634,Yogurt,Milk and milk products,Fermented milk products
638,Bean,Pulses,Beans
639,Vodka,Beverages,Distilled beverages
640,Whisky,Beverages,Distilled beverages
641,Ice cream,Confectioneries,Frozen desserts
642,Gin,Beverages,Distilled beverages
643,Honey,Confectioneries,Other confectioneries
644,Liquorice,Confectioneries,Candies
645,Vinegar,Baking goods,Seasonings
646,Rum,Beverages,Distilled beverages
647,Port wine,Beverages,Fortified wines
648,Vermouth,Beverages,Fortified wines
649,Sherry,Beverages,Fortified wines
650,Madeira wine,Beverages,Fortified wines
651,Nougat,Confectioneries,Other confectioneries
653,Toffee,Confectioneries,Other confectioneries
654,Cake,Confectioneries,Desserts
655,Pizza,Dishes,Other dishes
656,Ymer,Milk and milk products,Fermented milk products
657,Other snack food,Snack foods,Snack foods
659,Crisp bread,Cereals and cereal products,Flat breads
660,Pastry,Confectioneries,Desserts
661,Dragí©e,Confectioneries,Candies
662,Chewing gum,Confectioneries,Candies
663,Marzipan,Confectioneries,Other confectioneries
664,Salad dressing,Baking goods,Dressings
665,Sauce,Baking goods,Sauces
666,Salt,Baking goods,Seasonings
667,Butter,Milk and milk products,Other milk products
668,Butter substitute,Baking goods,Substitutes
669,Cream,Milk and milk products,Other milk products
670,Sugar,Baking goods,Sugars
671,Sausage,Dishes,Ground meat
672,Meatball,Dishes,Ground meat
673,Mustard,Baking goods,Condiments
674,Pate,Dishes,Ground meat
676,Sugar substitute,Baking goods,Substitutes
677,Meat bouillon,Baking goods,Baking goods
678,Other meat product,Animal foods,Meat products
679,Whey,Milk and milk products,Other milk products
680,Casein,Milk and milk products,Other milk products
681,Fruit preserve,Fruits,Fruit products
682,Leavening agent,Baking goods,Baking goods
683,Marshmallow,Confectioneries,Candies
684,Gelatin,Baking goods,Baking goods
685,Water,Beverages,Waters
686,Other fish product,Aquatic foods,Fish products
687,Milk (Human),Milk and milk products,Unfermented milks
689,Other beverage,Beverages,Other beverages
690,Baby food,Baby foods,Baby foods
691,Dumpling,Dishes,Other dishes
692,Soup,Dishes,Other dishes
693,Other vegetable product,Vegetables,Vegetable products
694,Unclassified food or beverage,Unclassified,Unclassified
695,Syrup,Baking goods,Baking goods
696,Tallow,Fats and oils,Animal fats
697,Remoulade,Baking goods,Condiments
698,Chocolate spread,Confectioneries,Spreads
699,Fruit gum,Confectioneries,Candies
700,Curry powder,Herbs and Spices,Herb and spice mixtures
701,Other candy,Confectioneries,Candies
702,Meringue,Confectioneries,Other confectioneries
703,Lard,Fats and oils,Animal fats
704,Other animal fat,Fats and oils,Animal fats
705,Other cocoa product,Cocoa and cocoa products,Cocoa products
706,Cocoa butter,Cocoa and cocoa products,Cocoa products
707,Cocoa powder,Cocoa and cocoa products,Cocoa products
708,Cocoa liquor,Cocoa and cocoa products,Cocoa products
